text,label
"homophones in english dialects i work with students with written language learning disabilities . my students and i create personalized editing checklists , one component of these checklists being a list of commonly confused homophones . i 'd like to compile a more comprehensive list , however . i ' ve got a copy of evan antworth 's list of homophones from standard english , but i 'd like to supplement this with homophones in dialects of english . i am particularly interested in mid - atlantic and southern dialects . thanks in advance - - suzanne cadwell",0
"John P. Looney wrote:
> On Thu, Aug 22, 2002 at 05:13:01PM +0100, Fergal Moran mentioned:
> 
>>In a nutshell - Solaris is Suns own flavour of UNIX.
> 
> 
>  Though I'm sure that this nice person would like a bit more detail.
> 
>  Solaris is quite different to Linux, though these days you can make
> solaris act a lot like linux with an extra CD of GNU tools Sun ship with
> solaris. It is based on the SysV unix family, so it's quite similar to
> other unixen like HPUX and SCO.
> 
>  Sun's hardware in general is more reliable, and a lot more expensive. One
> of the main bonuses you get by buying Sun is that you are getting your
> hardware and software from one company, so if you have a support contract,
> they have to fix it. They can't fob you off with 'that's a software
> problem, talk to the software vendor.' etc.
> 
>  If you are set on Linux, you most likely can do your own support. There
> is then a world of different hardware options. You can run Linux on Sparc,
> though some companies like RedHat don't maintain a sparc port anymore.
> 
>  You can also buy your machine from linux-oriented companies like DNUK,
> who do machines designed to run linux, and their own version of linux,
> that has a few extras for their machines. Or, you can get a machine from a
> cheaper company like Dell, and it'll most likely work, most of the time.Why do you say Dell is cheaper than DNUK?It gets a bit complicated though!
http://www.levenez.com/unix/history.htmlPÃ¡draig.
-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",0
"sum : object affixes dear linguists the time has come for me to post a summary based on replies to a query i posted a few weeks ago . this summary is rather long , and has the following structure : 1 ) the original query 2 ) acknowledgement of respondents 3 ) discussion of a few languages 4 ) general discussion 5 ) refs 6 ) outline of relevant details of roviana 7 ) summary 1 ) the query ) i am studying roviana , a western oceanic lg . there are pronominal object ) suffixes which occur on the verb indexing person , number etc . however , ) there are no affixes on the verb which would correspond to 's ubject ' ) ( however we might construe the concept ) . dixon ( 1994 ) claims that there ) are no lgs with object affixes but which lack subject affixes . does ) anybody else know of any other counter-examples ? 2 ) acknowledgements . my thanks to the following people ( listed in no particular order ) for their responses ( and my apologies if i have left anyone out ) : matthew dryer , karen wallace , mark campana , eloise jelinek , leo connolly , geoffrey nathan , johannes heinecke , malcolm ross , mark mandel , jaejung song . first , a point of clarification . by western oceanic i mean a branch of eastern austronesian . some of the replies seemed to indicate that people interpreted it to mean western austronesian . ( not that it is really important ) . some people replied with examples of languages with object affixes , whether or not the languages in question also had affixes indicating other grammatical relations . matthew dryer replied with the following list of languages which have object affixes but no subject affixes ( taken from an a database mentioned by him in language 1992 ) : africa : central khoisan ( nama ) , ijoid ( kolokuma ijo ) , gur ( bimoba ) , east chadic ( kera ) , biu-mandara ( margi , mbara ) , west chadic ( ngizim ) . eurasia : nax ( ingush ) , avaro-andi - dido ( avar ) , lezgic ( archi ) , munda ( mundari ) . se asia oceania : nicobarese ( car nicobarese ) , central-eastern malayo-polynesian ( kiribatese , ponapean , woleaian ) . north america : pimic ( papago ) . south america : warao , maipurean ( palikur ) . i have not been able to follow up on all of these refs . i have however , looked at the micronesian languages . 3 ) discussion of a few languages sohn ( 1975 ) re woleaian : object suffixes , but no affixes corresponding to any other grammatical relation . 3sg has three forms : zero and - y / - w . it seems that verbs fall in to two classes , with zero being added to verbs in one class ( many of whose members appear to have a tr suffix ) and - y / - w to members of the other class ( the choice in forms being phonologically conditioned ) . interestingly , 3pl distinguishes animate vs inanimate , whereas all other persons and numbers do not . these affixes can occur with or without an overt independent object np . these affixes occur on certain post-verbal advbs , suggesting that they might in fact be clitics . zewen ( 1977 ) re marshallese . pronominal objects immediately follow the verb . 3sg and 3pl are enclitics and undergo vowel harmony . these enclitics can co-occur with lexical np object . ' subject ' prons are all independent . groves , groves and jacobs ( 1985 ) re kiribatese . it seems from their description that the language has object suffixes but no other affixes indicating grammatical relations . however , there are things which could perhaps be analyzed as subject prefixes ( p1 08 ) . exactly which object suffixes get attached ( out of 11 classes ) seems to be lexically determined . 4 ) general discussion it would appear that there are no cross-linguistic studies of object affixes per se . some respondents questioned whether the object suffixes in roviana are really suffixes and not just clitics . they are suffixes , but even if they were n't the focus of my interest would be the same . i am focussing on two facts about roviana : ( a ) the case marking on np 's is on an ergative-absolutive basis , but the only grammatical relation indicated by verbal affixes is object . ( b ) of the object affixes , only 3pl has zero form . being functionally inclined , i am interested in finding a motivation for ( b ) . it is not simply a case of referentiality ( see the brief sketch below ) . 5 ) refs ( with diacritics mangled by the internet ) corston , simon h . 1993 . ergativity in roviana . ma thesis : auckland university , new zealand . ( to appear in the pacific linguistics series ) . groves , terab ' ata r , groves , gordon w . and jacobs , roderick . 1985 . kiribatese : an outline description . pacific linguistics , series d , no . 64 . anu printing service : anu . sohn , ho - min with the assistance of tawerilmang , anthony f . 1975 . woleian reference grammar . pacific and asian languages institute : micronesia . honoloulu : university press of hawaii . zewen , francois - xavier n . 1977 . the marshallese language : a study of its phonology , morphology and syntax . veroffentlichungen des seminars fur indonesische und sudseesprachen der universitat hamburg , band 10 . berlin : verlag . 6 ) outline of relevant details of roviana the following is a brief description of roviana based on my own field work ( corston 1993 ) . case marking on np 's is split ergative , in a typologically unusual way : absolutive is marked ( si / se ) , ergative is unmarked . pronouns , proper np 's and enumerated np 's in main clauses distinguish erg vs abs by means of special particles . all other np 's are neutral ( ie do not formally distinguish a / s / o ) . as well as using special particles , prons distinguish erg vs abs in the form of the pron . a , s and o are always specific . person object suffix 1sg - u , - au 2sg - xo 3sg - a 1pl . incl - xita 1pl . excl - xami 2pl - xamu 3pl - 0 ( zero ) these affixes are similar to or the same as various indep pronouns , e . g . compare rau 1sg xoi 2sg xita 1pl . incl xami 1pl . excl xamu 2pl but , asa 3sg abs or sa 3sg erg sarini 3pl abs or ri 3pl erg ( there is quite a story to sarini historically , see the ma ) if there is a do np , you get the affixes e . g . meke doxor-i - a ri si keke ixana and see - tr-3sg . do they abs one fish ( erg ) ' and they saw a fish . ' ( animals , 034 ) ( the paper i am writing now clarifies why i only put erg in parentheses - it is really unmarked , and you have to infer in this context that the pron = erg because there is no particle ) kote arina tie mae magu-i - 0 sarini fut pl man come carve - tr-3pl . do 3pl . abs ' the men will come and carve them up . ' ( feast , 016 ) ( them = pigs in a feast ) nb , here the do is the pron sarini . however , you can get the affixes even if there is no overt do np , suggesting that they have independent reference , e . g . ai lul-i - u mo intj follow - tr-1sg . do dt ' hey ! follow me . ' ( animals , 011 ) and the following longer example . e saimone sa tie he-hegere hoirana . pers simon def man dup - laugh there ' that 's simon , the man who 's laughing over there . ' avos-i - a xoi ? hear - tr-3sg . do you ( erg ) ' do you hear him ? ' ( day , 029-030 ) note that the suffixes do not ' index ' absolutive etc , only o . ( see ma ) roviana has case marked and quantified np 's . case ( erg , abs , obl , etc ) is indicated by articles before the np . quantifiers ( numbers , 's ome ' , ' all ' etc ) precede the head n . non - specific undergoers obligatorily occur in a backgrounded object construction . compare the following two examples . raro talo si gami cook taro abs 1pl . excl ' we cooked taro ' / ' we did some taro cooking ' it is difficult to say if ' talo ' is ' incorporated ' since there are no other indep elements assoc with the verb which ever come after . note that the backgrounded constr is intr , with no transitive marking , and with the actor as s . compare to the ' usual ' order vao raro-a gami sa talo cook - 3sg . do 1pl . excl def taro ' we cooked the taro . ' undergoers which are pragmatically backgrounded can also occur in the backgrounded object construction , irrespective of whether they are referential or not . 7 ) summary * languages with object affixes but which lack affixes indicating other grammatical relations do occur , but would appear to be uncommon . * i feel that having 3pl as the only zero form is unusual , but am unable to find a cross-linguistic study to bear this out . even so , the zero form requires a functional explanation ( cf du bois , john w . 1987 ' absolutive zero : paradigm adaptivity in sacapultec maya ' , lingua 71 : 203-222 ) . again , my thanks to those who replied . ps i should have a draft of my paper ' featuredness and core arguments in roviana ' available shortly . simon corston corston @ humanitas . ucsb . edu",0
"Eugen Leitl:
>Clearly our non-silly non-antiquated ideas about relationships have 
>resulted in mostly short-duration relationships and single-parented, 
>dysfunctional kids ..Don't swallow too quickly what you have read about
more traditional cultures, today or in the past. Do
we have any statistics on the poor man's divorce from
centuries past? Are you so sure that the kids in 18th
century England were any more ""functional"" than those
today? What about 20th century Saudi Arabia?>At least from the viewpoint of demographics sustainability and 
>counterpressure to gerontocracy and resulting innovatiophobia we're doing
>something wrong.Granting your first two points, I'm skeptical about
the last. Do you see ANY signs that America specifically
or the west generally are suffering from lack of
innovation, vis-a-vis youth nations such as Iran? The
last I read, the third generation of the revolution all
(a) want to move to America, and (b) failing that, are
importing everything they can American.
_________________________________________________________________
Join the worldï¿½s largest e-mail service with MSN Hotmail. 
http://www.hotmail.com",0
78 % off for all new software . surveyed exult tables mattress bitten leased using reprehensible extol benefactor warped hubert fag bequeath intimate skiff talkatively stint wolcott interlink mother arrived scrutiny realtor colloquium angles glorious bean vomited compounds marcher vector nadir diffuse ashamedly midstream kills trespasser nouns,1
"bacteria makes your body weak antidote that kills body bacteria , kills body virus and make your body immunity system healthy and strong the antidote is a unique anti - microbial peptide offering the widest range of healing power on the market today . it kills all known deadly viruses and bacteria in the body . the initial research was carried out over several years ago by the bbc / abc news organizations as varied as the bbc , abc , and reputable doctors in the crocodile field have all given testimonials praising the power of the antidote . take a look for yourself . the antidote is only available from our internet website http : / / poiuytrdesc . com / ps thanks and regards isiah beach optout of our promotional campaign ? http : / / poiuytrdesc . com / backhome",1
start date : 1 / 5 / 02 ; hourahead hour : 11 ; start date : 1 / 5 / 02 ; hourahead hour : 11 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002010511 . txt,0
"lng contracts i am seeking information on where to find copies of lng contracts that were previously in the domain of the old enron international company . enron north america will be establishing a risk book to manage lng positions on a worldwide basis and we need copies of all contracts to set this up . these contracts may or may not be related to the dabhol project . if you can provide guidance or information as to where to find these contracts , i would appreciate it . you may respond via email or call me at 713 - 853 - 6079 in houston . thank you for your attention .",0
"fw : [ 3 ] this will be our final try we have tried to speak to you on several instances and time is running out ! your exisiting home loan makes you eligible for you for up to a 3 . 50 % lower rate . however , since our previous attempts to speak to you have failed , this will be our last notice to close for you the lower rate . please complete this final step upon receiving this notice immediately , and complete your request for information now . request form here . if your decision is not to make use of this final offer going here will help you to do so .",1
"urgent business assistance mr james kofi project implementation ministry of energy and mineral resources p . o . box 745 , accra . ghana email : kofi 51 @ zwallet . com dear sir , it is my pleasure to write this letter to you . first , i must ask your utmost confidentiality in this transaction by virtue of it being utterly confidential . i am mr . robert kokoh , a member of the ghana export promotion council ( gepc ) . i am currently in europe on a one year traning course . i was also with the government delegation to your country during a bilateral trade conference . i have decided to seek your assistance and co - operation in the execution of a business transaction described here under for the benefit of all parties and hope that you keep it confidential because of the nature of the transaction . we basically seek your assistance to front in the transfer of us $ 30 , 500 , 000 . 00 ( thirty million , five hundred thousand united states dollars only ) . source : i was working as a director of project implementation within the ministry of energy and mineral resources and with co - operation of three other top officials , we have in our possession an overdue payment in us funds . the said funds represents certain percentage of the contract value executed on behalf of my ministry by a foreign contracting firm , which we the officials over - invoiced by a total amount of us $ 30 , 500 , 000 . 00 ( thirty million five hundred thousand united states dollars ) . though the actual contract cost has been paid to the original contractor , leaving the excess balance unclaimed . but by virtue of us being civil servants we cannot acquire this fund in our names , therefore i was delegated as a matter of trust by my colleagues to look for an overseas partner into whose account we would transfer the funds hence we are writing you this letter . our government is determined to pay foreign contractors all debts owned so as to maintain continued good relations with both the foreign governments and non government financial agencies . we have decided to include our bills for approval with the co - operation of some officials at the department of finance and the central bank of ghana ( cbg ) . we hereby seek your assistance to act as the beneficiary of the unclaimed funds since we are not allowed to operate a foreign account . you will provide us with a good front and partnership to process the remittance of the money to you as a form of contract payment . this process will be an internal arrangement with the departments concerned and we will handle this here , your duty is to act as the contractor and have the contract sum paid to you . i have the authority of my partners to invite you into this matter and with your acceptance of our invitation , your share as compensation will be 20 % , and 70 % will be for us and 10 % will be for the settlement of taxation and other miscellaneous expenses incurred . the business itself is 100 % safe , fail proof and risk - free , provided you treat it with utmost confidentiality and you follow our instructions carefully and religiously . your area of business specialization does not matter as it cannot hinder the successful execution of this transaction . i hope i can put my confidence in you in this matter . please contact me by return email to indicate your willingness and capability to assist us . thank you for your anticipated co - operation and i await the receipt of our message to enable me bring you into the complete picture of the transaction . yours faithfully , mr james kofi .",1
"re : account # 80399 a hello , we sent you an email a while ago , because you now qualify for a new mortgage . you could get $ 300 , 000 for as little as $ 600 a month ! bad credit is no problem , you can pull cash out or refinance . please click on this link for free consultation by a mortgage broker : start saving here best regards , garrett dodson for email removal , go here . sic brothel gnome hyperboloid exemplar sanborn waggle felony balloon doomsday dogmatic inverness gertrude boulder moorish crockett impartial biasdessicate assiduity confucius drier wriggle imaginate seminarian brotherhood heater campus maelstrom individuate burly christianson wad ignoramus creed workastringent drop housebreak mephistopheles cogent basketball sixtieth blight shorthand swan extort chiffon weapon aorta squashberry coherent convulsive runnethaztecan automorphic blackman bethought gallup cornerstone uptake quebec chigger dorcas deletion heublein focus bender buzz whitehorse crux liltmacarthur finial dampen complacent hypodermic bissau proscenium armpit penalty staple ansi elaborate somehow acorn cotman",1
"URL: http://www.newsisfree.com/click/-3,8457387,215/
Date: 2002-10-02T04:57:55+01:00*Money:* Britain's biggest building society has signalled it expects no let-up 
in the runaway property boom.",0
become the best guy for her this night !,1
"explore our cyberspace and gain quick healings . licensed physicians at our e - zone complete the case profile review . gratis of charge . i was wondering , how to loose flabbiness without hard work ? the intake medicines with dietplan were really working for me . within few days , i lost few pound . it ¡ ¯ s thrilling . rightnow , i am in the perfect shape . thank you to make my dream comes true . rina roger , ca http : / / ahi . f . finestvalu ehome . com / 8 qo / the great poet goethe concludes his faust with the words , "" may be continued ; "" so might our wanderings in the churchyard be continued . may soon put him quite out of her head , and i have very little doubt the visit passed off altogether in high good humour . mary was 5641 e . seneca street , mandeville , louisiana , 70471 218 - 611 - 8477",1
"sandy she will blow you tonight date a loney girl tonight . meet fun , lonely married and single women , neglected husbands and fun guys who are serious about having a good time . our huge data base of women all over the country has grown . we have almost 1 million members . just do a profile search theres always new fresh single and married babes that want to hook up . marital status is not an issue here . our members just want to get together and party . best of all it doesnt cost anything to join in the fun . meet now and hook up tonight you are receiving this as part of a previous customer list . to stop these here the amulet amelia defect telecommunicate . when she plaintive hill spector everthything if you went shameface begun valparaiso . when she dihedral armhole sir things that cried descartes glaswegian . bruceg @ em . ca .",1
"iieo
Mortgage companies make you wait
      Mortgage companies make you wait...They Demand to Interview you...They 
      Intimidate you...They Humiliate you...And All of That is While 
      They Decide If They Even Want to Do Business With You...
We Turn the 
      Tables on Them...
      Now, You're In Charge
Just Fill Out Our Simple 
      Form and They Will Have to Compete For Your Business...      CLICK HERE FOR THE FORM
We have hundreds of loan 
      programs, including:
Refinance 
Debt Consolidation 
Home Improvement 
Second Mortgages 
Cash Out
Home Equity Loan
You can save Thousands Of Dollars 
          over the course of your loan with just a 1/4 of 1% Drop in your rate!
Â Â       CLICK HERE FOR THE FORM
You 
      will be contacted with an offer within 24 hours from the time you fill out 
      the form!
Please know that we do not want to send you information regarding our special offers if you do not wish to receive it.  If you would no longer like us to contact you or you feel that you have received this email in error, you may click here to unsubscribe.
xcps",1
"proper names dear linguists , i am looking for information and references regarding proper names ( especially people 's names ) . proper names are difficult to handle for nlp applications , for various reasons ; but one thing is sure : if you wish to analyse large corpora of texts , you will bump into a large number of proper names , and many of of these will be foreign proper names . so i am trying to gather any possible piece of knowledge ( references and pointers are welcome ) for as many languages as i can regarding the following points , in order to enhance a syntactic analyser for french : - the standard fashion to name people ( in french , usually a first name and a last name , but some language may add to this simple pattern additonal pieces . - what kind of unusual character may be found in proper names : for example , in france you may find names from brittany like rowarc ' h or floc ' h , where the quote is likely to cause segmentation errors ; the same holds for some dutch names such as op ' t hof , etc . - what are the official rules for spelling proper names , especially names that are composed of prepositional phrases , like "" de gaulle "" , or "" van voorst tot voorst "" : in other words , which parts are capitalized , and which are not . - what are the most frequent morphemes used in proper names , or in other words if there is ( used to be ) a preferred way for creating new proper names from a restricted list of morphemes . - what are the compounding rules for proper names . if there is enough interest , i ' ll post a summary . many thanks in advance , francois .",0
"Date:        Thu, 22 Aug 2002 10:04:06 -0500
    From:        Chris Garrigues 
    Message-ID:  <1030028647.6462.TMDA@deepeddy.vircio.com>  | hmmm, I assume you're going to report this to the nmh folks?Yes, I will, sometime, after I look at the nmh sources and see what
they have managed to break, and why.But we really want exmh to operate with all the versions of nmh that
exist, don't we?   The patch to have exmh do the right thing, whether this
bug exists, or not, is trivial, so I'd suggest including it.Patch follows ...I have no idea why the sequences were being added after the message list
before, not that it should make any difference to nmh (or MH).   But since
I stopped doing that, the variable ""msgs"" isn't really needed any more,
rather than assigning $pick(msgs) to msgs, and then using $msgs the code
could just use $pick(msgs) where $msgs is now used.   This is just a
frill though, so I didn't change that.  kre--- pick.tcl	Fri Aug 23 16:28:14 2002
+++ /usr/local/lib/exmh-2.5/pick.tcl	Sat Aug 24 18:14:44 2002
@@ -128,7 +128,7 @@
 }
 proc Pick_It {} {
     global pick exmh
-    set cmd [list exec pick +$exmh(folder) -list]
+    set cmd [list exec pick +$exmh(folder)]
     set inpane 0
     set hadpane 0
     for {set pane 1} {$pane <= $pick(panes)} {incr pane} {
@@ -175,8 +175,9 @@
     }
     set msgs $pick(msgs)
     foreach s $pick(sequence) {
-	lappend msgs -sequence $s
+	lappend cmd -sequence $s
     }
+    lappend cmd -list
 
     Exmh_Debug Pick_It $cmd $msgs
     busy PickInner $cmd $msgs
_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers",0
"Martin A posted:
Tassos Papadopoulos, the Greek sculptor behind the plan, judged that the
 limestone of Mount Kerdylio, 70 miles east of Salonika and not far from the
 Mount Athos monastic community, was ideal for the patriotic sculpture. 
 
 As well as Alexander's granite features, 240 ft high and 170 ft wide, a
 museum, a restored amphitheatre and car park for admiring crowds are
planned
---------------------
So is this mountain limestone or granite?
If it's limestone, it'll weather pretty fast.------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM
---------------------------------------------------------------------~->To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0
"words that are their own opposites st isidore of seville may well be the source of "" lucus a non lucendo , "" as paul werth suggests . however , it 's no accident that benji wald attributed this ' etymology ' to varro ( 116-27 b . c . e . ) , as the latter is responsible for such etymological gems as vallum . . . quod ea varicare nemo posset "" _ vallum _ ' camp wall ' because no one could _ varicare _ 's traddle over it ' "" ( _ de lingua latina _ : v , 117 ) and qua vix agi potest , hinc angiportum ; qua nil potest agi , hinc angulus "" where it is hardly possible for anything _ agi _ ' to be driven , ' from this it is called an _ angiportum _ ' alley ' ; where nothing can _ agi _ ' be driven , ' from this it is an _ angulus _ ' corner ' "" ( ibid . : vi , 41 ) . a footnote in the loeb edition of _ de lingua latina _ refers to this as "" derivation by the contrary meaning , "" and cites another example : ludus , in quo minime luditur "" school , in which there is very little playing "" ( festus , 122 . 16m ) . karen baumer yale university",0
"URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:4:54:52PM
Date: Mon, 23 Sep 2002 23:54:52 GMTPaul Everitt: Interop in the Bazaar[1].[1] http://advogato.com/article/544.html",0
"Gary Lawrence Murphy writes:
> 20,000 years ago, one of them the size of Mt Everest just ever so
> slightly grazed us and left a scar 400km long in the side of South
> America before it scooted out into space.  First nations people would
> have been there then, and it would have seriously ruined their day.Do you have any further information about this incident that
would me find more details on the web?- Gordon
http://xent.com/mailman/listinfo/fork",0
start date : 12 / 30 / 01 ; hourahead hour : 17 ; start date : 12 / 30 / 01 ; hourahead hour : 17 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2001123017 . txt # # # cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule . unable to assign deal number . # # # cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule . unable to assign deal number .,0
